name,weight,measure,protein-gm,protein-unit,protein-value,fat-gm,fat-unit,fat-value,carb-gm,carb-unit,carb-value
"Popcorn, sugar syrup/caramel, fat-free",28.35,1.0 oz,2.0,g,0.57,1.4,g,0.40,90.06,g,25.53
"POPEYES, biscuit",60.0,1.0 biscuit,6.0,g,3.60,23.71,g,14.23,40.95,g,24.57
"POPEYES, Coleslaw",120.0,1.0 package,0.98,g,1.18,11.18,g,13.42,14.12,g,16.94
"POPEYES, Fried Chicken, Mild, Breast, meat and skin with breading",194.0,"1.0 breast, with skin",21.67,g,42.04,16.47,g,31.95,9.83,g,19.07
"POPEYES, Fried Chicken, Mild, Breast, meat only, skin and breading removed",132.0,1.0 breast without skin,28.98,g,38.25,4.52,g,5.97,0.0,g,0.00
"POPEYES, Fried Chicken, Mild, Drumstick, meat and skin with breading",76.0,"1.0 drumstick, with skin",20.44,g,15.53,19.14,g,14.55,9.84,g,7.48
"POPEYES, Fried Chicken, Mild, Drumstick, meat only, skin and breading removed",44.0,"1.0 drumstick, bone and skin removed",26.51,g,11.66,7.14,g,3.14,0.04,g,0.02
"POPEYES, Fried Chicken, Mild, Thigh, meat and skin with breading",138.0,1.0 thigh with skin,19.14,g,26.41,20.99,g,28.97,11.2,g,15.46
"POPEYES, Fried Chicken, Mild, Thigh, meat only, skin and breading removed",83.0,1.0 thigh thigh without skin,24.31,g,20.18,9.66,g,8.02,0.85,g,0.71
"POPEYES, Fried Chicken, Mild, Wing, meat and skin with breading",57.0,"1.0 wing, with skin",20.4,g,11.63,22.48,g,12.81,13.52,g,7.71
"POPEYES, Fried Chicken, Mild, Wing, meat only, skin and breading removed",16.0,"1.0 wing without skin, bone and breading",28.94,g,4.63,9.42,g,1.51,2.9,g,0.46
"POPEYES, Mild Chicken Strips, analyzed 2006",54.0,1.0 strip,19.2,g,10.37,13.01,g,7.03,19.31,g,10.43
"POPEYES, Spicy Chicken Strips, analyzed 2006",53.0,1.0 strip,19.61,g,10.39,11.2,g,5.94,18.52,g,9.82
"Popovers, dry mix, enriched",28.35,1.0 oz,10.4,g,2.95,4.3,g,1.22,71.0,g,20.13
"Popovers, dry mix, unenriched",28.35,1.0 oz,10.4,g,2.95,4.3,g,1.22,71.0,g,20.13
"Pork and beef sausage, fresh, cooked",13.0,"1.0 link (raw dimensions: 4"" long x 7/8"" dia), cooked",13.8,g,1.79,36.25,g,4.71,2.7,g,0.35
"Pork and turkey sausage, pre-cooked",57.0,1.0 serving,12.05,g,6.87,30.64,g,17.46,3.63,g,2.07
"Pork loin, fresh, backribs, bone-in, cooked-roasted, lean only",85.0,3.0 oz,24.15,g,20.53,17.65,g,15.00,0.0,g,0.00
"Pork loin, fresh, backribs, bone-in, raw, lean only",114.0,4.0 oz,20.85,g,23.77,9.84,g,11.22,0.0,g,0.00
"Pork sausage rice links, brown and serve, cooked",45.0,2.0 links 1 NLEA serving,13.7,g,6.16,37.63,g,16.93,2.36,g,1.06
"Pork sausage, link/patty, cooked, pan-fried",27.0,1.0 patty,18.53,g,5.00,27.25,g,7.36,1.42,g,0.38
"Pork sausage, link/patty, fully cooked, microwaved",30.0,1.0 patty,15.12,g,4.54,41.66,g,12.50,0.62,g,0.19
"Pork sausage, link/patty, fully cooked, unheated",23.0,1.0 link,13.46,g,3.10,37.25,g,8.57,0.69,g,0.16
"Pork sausage, link/patty, reduced fat, cooked, pan-fried",85.0,3.0 oz,20.94,g,17.80,20.32,g,17.27,0.15,g,0.13
"Pork sausage, link/patty, reduced fat, unprepared",85.0,3.0 oz,16.75,g,14.24,16.55,g,14.07,0.2,g,0.17
"Pork sausage, link/patty, unprepared",25.0,1.0 link,15.39,g,3.85,24.8,g,6.20,0.93,g,0.23
"Pork sausage, reduced sodium, cooked",85.0,3.0 oz,9.41,g,8.00,22.35,g,19.00,8.13,g,6.91
"Pork, bacon, rendered fat, cooked",85.0,3.0 oz,0.07,g,0.06,99.5,g,84.58,0.0,g,0.00
"Pork, cured, bacon, cooked, baked",8.1,1.0 slice cooked,35.73,g,2.89,43.27,g,3.50,1.35,g,0.11
"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",8.0,1.0 slice cooked,37.04,g,2.96,41.78,g,3.34,1.43,g,0.11
"Pork, cured, bacon, cooked, microwaved",9.1,1.0 slice cooked,39.01,g,3.55,34.12,g,3.10,0.48,g,0.04
"Pork, cured, bacon, pre-sliced, cooked, pan-fried",11.5,1.0 slice,33.92,g,3.90,35.09,g,4.04,1.7,g,0.20
"Pork, cured, bacon, unprepared",28.0,1.0 slice raw,12.62,g,3.53,39.69,g,11.11,1.28,g,0.36
"Pork, cured, breakfast strips, raw or unheated",85.0,3.0 oz,11.74,g,9.98,37.16,g,31.59,0.7,g,0.60
"Pork, cured, feet, pickled",28.35,1.0 oz,11.63,g,3.30,10.02,g,2.84,0.01,g,0.00
"Pork, cured, ham -- water added, rump, bone-in, separable lean and fat, heated, roasted",85.0,1.0 serving (3 oz),20.1,g,17.08,8.56,g,7.28,0.99,g,0.84
"Pork, cured, ham -- water added, rump, bone-in, separable lean and fat, unheated",28.35,1.0 oz,13.99,g,3.97,12.5,g,3.54,0.8,g,0.23
"Pork, cured, ham -- water added, rump, bone-in, separable lean only, heated, roasted",85.0,1.0 serving (3 oz),21.41,g,18.20,3.56,g,3.03,0.87,g,0.74
"Pork, cured, ham -- water added, rump, bone-in, separable lean only, unheated",85.0,3.0 oz,15.43,g,13.12,3.48,g,2.96,0.67,g,0.57
"Pork, cured, ham -- water added, shank, bone-in, separable lean and fat, heated, roasted",85.0,1.0 serving (3 oz),18.62,g,15.83,13.37,g,11.36,1.35,g,1.15
"Pork, cured, ham -- water added, shank, bone-in, separable lean and fat, unheated",28.35,1.0 oz,16.65,g,4.72,11.02,g,3.12,0.66,g,0.19
"Pork, cured, ham -- water added, shank, bone-in, separable lean only, heated, roasted",85.0,1.0 serving (3 oz),20.92,g,17.78,4.43,g,3.77,1.2,g,1.02
"Pork, cured, ham -- water added, shank, bone-in, separable lean only, unheated",85.0,3.0 oz,18.65,g,15.85,1.87,g,1.59,0.71,g,0.60
"Pork, cured, ham -- water added, slice, bone-in, separable lean and fat, heated, pan-broil",85.0,1.0 serving (3 oz),20.8,g,17.68,8.73,g,7.42,1.54,g,1.31
"Pork, cured, ham -- water added, slice, bone-in, separable lean and fat, unheated",28.35,1.0 oz,15.73,g,4.46,10.77,g,3.05,1.1,g,0.31
"Pork, cured, ham -- water added, slice, bone-in, separable lean only, heated, pan-broil",85.0,1.0 serving (3 oz),22.04,g,18.73,4.3,g,3.66,1.48,g,1.26
"Pork, cured, ham -- water added, slice, bone-in, separable lean only, unheated",85.0,3.0 oz,17.38,g,14.77,2.29,g,1.95,1.23,g,1.05
"Pork, cured, ham -- water added, slice, boneless, separable lean and fat, heated, pan-broil",85.0,1.0 serving (3 oz),18.62,g,15.83,5.05,g,4.29,1.72,g,1.46
"Pork, cured, ham -- water added, slice, boneless, separable lean only, heated, pan-broil",85.0,1.0 serving (3 oz),18.82,g,16.00,4.09,g,3.48,1.75,g,1.49
"Pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted",85.0,1.0 serving (3 oz),17.77,g,15.10,5.48,g,4.66,1.54,g,1.31
"Pork, cured, ham -- water added, whole, boneless, separable lean and fat, unheated",28.35,1.0 oz whole,17.06,g,4.84,5.38,g,1.53,1.42,g,0.40
"Pork, cured, ham -- water added, whole, boneless, separable lean only, heated, roasted",85.0,3.0 oz,17.99,g,15.29,4.39,g,3.73,1.57,g,1.33
"Pork, cured, ham -- water added, whole, boneless, separable lean only, unheated",85.0,3.0 oz,17.34,g,14.74,3.97,g,3.37,1.45,g,1.23
"Pork, cured, ham and water product, rump, bone-in, separable lean and fat, heated, roasted",85.0,1.0 serving (3 oz),19.46,g,16.54,11.48,g,9.76,1.15,g,0.98
"Pork, cured, ham and water product, rump, bone-in, separable lean and fat, unheated",28.35,1.0 oz rump,16.09,g,4.56,12.13,g,3.44,1.35,g,0.38
"Pork, cured, ham and water product, rump, bone-in, separable lean only, heated, roasted",85.0,1.0 serving (3 oz),21.28,g,18.09,4.7,g,4.00,1.15,g,0.98
"Pork, cured, ham and water product, rump, bone-in, separable lean only, unheated",28.35,1.0 oz,17.93,g,5.08,3.38,g,0.96,1.24,g,0.35
"Pork, cured, ham and water product, shank, bone-in, separable lean and fat, heated, roasted",85.0,1.0 serving (3 oz),18.17,g,15.44,17.29,g,14.70,1.42,g,1.21
"Pork, cured, ham and water product, shank, bone-in, separable lean and fat, unheated",28.35,1.0 oz shank,14.28,g,4.05,20.0,g,5.67,1.42,g,0.40
"Pork, cured, ham and water product, shank, bone-in, separable lean only, heated, roasted",85.0,1.0 serving (3 oz),21.69,g,18.44,4.45,g,3.78,1.26,g,1.07
"Pork, cured, ham and water product, shank, bone-in, unheated, separable lean only",85.0,3.0 oz,17.53,g,14.90,4.18,g,3.55,1.2,g,1.02
"Pork, cured, ham and water product, slice, bone-in, separable lean and fat, heated, pan-broil",85.0,1.0 serving (3 oz),19.85,g,16.87,7.78,g,6.61,1.41,g,1.20
"Pork, cured, ham and water product, slice, bone-in, separable lean and fat, unheated",28.35,1.0 oz,13.69,g,3.88,9.29,g,2.63,2.72,g,0.77
"Pork, cured, ham and water product, slice, bone-in, separable lean only, heated, pan-broil",85.0,1.0 serving (3 oz),20.9,g,17.76,3.63,g,3.09,1.35,g,1.15
"Pork, cured, ham and water product, slice, bone-in, separable lean only, unheated",85.0,3.0 oz,14.47,g,12.30,3.78,g,3.21,2.82,g,2.40
"Pork, cured, ham and water product, slice, boneless, separable lean and fat, heated, pan-broil",136.0,1.0 slice,15.08,g,20.51,5.13,g,6.98,4.69,g,6.38
"Pork, cured, ham and water product, slice, boneless, separable lean only, heated, pan-broil",138.0,1.0 slice,15.09,g,20.82,5.06,g,6.98,4.69,g,6.47
"Pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted",85.0,1.0 serving (3 oz),13.88,g,11.80,5.46,g,4.64,4.61,g,3.92
"Pork, cured, ham and water product, whole, boneless, separable lean and fat, unheated",28.35,1.0 oz whole,14.05,g,3.98,4.99,g,1.41,4.21,g,1.19
"Pork, cured, ham and water product, whole, boneless, separable lean only, heated, roasted",85.0,1.0 serving (3 oz),13.88,g,11.80,5.46,g,4.64,4.61,g,3.92
"Pork, cured, ham and water product, whole, boneless, separable lean only, unheated",85.0,3.0 oz,14.07,g,11.96,4.86,g,4.13,4.22,g,3.59
"Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, heated, roasted",85.0,1.0 serving (3 oz),22.47,g,19.10,9.39,g,7.98,0.6,g,0.51
"Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, unheated",28.35,1.0 oz rump,19.7,g,5.58,13.26,g,3.76,0.43,g,0.12
"Pork, cured, ham with natural juices, rump, bone-in, separable lean only, heated, roasted",85.0,1.0 serving (3 oz),24.14,g,20.52,4.25,g,3.61,0.48,g,0.41
"Pork, cured, ham with natural juices, rump, bone-in, separable lean only, unheated",85.0,3.0 oz,22.71,g,19.30,3.47,g,2.95,0.43,g,0.37
"Pork, cured, ham with natural juices, shank, bone-in, separable lean and fat, heated, roasted",85.0,1.0 serving (3 oz),22.88,g,19.45,10.93,g,9.29,0.33,g,0.28
"Pork, cured, ham with natural juices, shank, bone-in, separable lean and fat, unheated",28.35,1.0 oz shank,22.35,g,6.34,11.11,g,3.15,0.32,g,0.09
"Pork, cured, ham with natural juices, shank, bone-in, separable lean only, heated, roasted",85.0,1.0 serving (3 oz),24.95,g,21.21,4.97,g,4.22,0.34,g,0.29
"Pork, cured, ham with natural juices, shank, bone-in, separable lean only, unheated",85.0,3.0 oz,25.11,g,21.34,3.33,g,2.83,0.3,g,0.26
"Pork, cured, ham with natural juices, slice, bone-in, separable lean and fat, heated, pan-broil",85.0,1.0 serving (3 oz),26.18,g,22.25,8.28,g,7.04,0.17,g,0.14
"Pork, cured, ham with natural juices, slice, bone-in, separable lean and fat, unheated",85.0,3.0 oz,22.82,g,19.40,7.4,g,6.29,0.17,g,0.14
"Pork, cured, ham with natural juices, slice, bone-in, separable lean only, heated, pan-broil",85.0,1.0 serving (3 oz),27.75,g,23.59,4.38,g,3.72,0.0,g,0.00
"Pork, cured, ham with natural juices, slice, bone-in, separable lean only, unheated",85.0,3.0 oz,24.34,g,20.69,2.87,g,2.44,0.0,g,0.00
"Pork, cured, ham with natural juices, slice, boneless, separable lean and fat, heated, pan-broil",85.0,1.0 serving (3 oz),20.89,g,17.76,3.4,g,2.89,1.04,g,0.88
"Pork, cured, ham with natural juices, slice, boneless, separable lean only, heated, pan-broil",85.0,1.0 serving (3 oz),20.95,g,17.81,3.16,g,2.69,1.05,g,0.89
"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, heated, roasted",145.0,1.0 slice,22.18,g,32.16,5.1,g,7.40,1.06,g,1.54
"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, unheated",28.35,1.0 oz spiral slice,18.66,g,5.29,5.75,g,1.63,1.18,g,0.33
"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean only, unheated",28.35,1.0 oz spiral slice,19.25,g,5.46,3.26,g,0.92,1.22,g,0.35
"Pork, cured, ham with natural juices, spiral slice, meat only, boneless, separable lean only, heated, roasted",145.0,1.0 slice,22.56,g,32.71,3.78,g,5.48,1.08,g,1.57
"Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, heated, roasted",85.0,1.0 serving (3 oz),20.54,g,17.46,3.13,g,2.66,0.84,g,0.71
"Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, unheated",28.35,1.0 oz whole,19.38,g,5.49,3.43,g,0.97,1.02,g,0.29
"Pork, cured, ham with natural juices, whole, boneless, separable lean only, heated, roasted",85.0,1.0 serving (3 oz),20.57,g,17.48,3.01,g,2.56,0.84,g,0.71
"Pork, cured, ham with natural juices, whole, boneless, separable lean only, unheated",28.35,1.0 oz,19.44,g,5.51,3.21,g,0.91,1.03,g,0.29
"Pork, cured, ham, boneless, extra lean (approximately 5% fat), roasted",140.0,1.0 cup,20.93,g,29.30,5.53,g,7.74,1.5,g,2.10
"Pork, cured, ham, boneless, extra lean and regular, roasted",140.0,1.0 cup,21.97,g,30.76,7.66,g,10.72,0.5,g,0.70
"Pork, cured, ham, boneless, extra lean and regular, unheated",140.0,1.0 cup,18.26,g,25.56,8.39,g,11.75,2.28,g,3.19
"Pork, cured, ham, boneless, low sodium, extra lean (approximately 5% fat), roasted",28.35,1.0 oz,20.9,g,5.93,5.5,g,1.56,1.5,g,0.43
"Pork, cured, ham, boneless, low sodium, extra lean and regular, roasted",28.35,"1.0 oz, boneless",22.0,g,6.24,7.7,g,2.18,0.5,g,0.14
"Pork, cured, ham, boneless, regular (approximately 11% fat), roasted",140.0,1.0 cup,22.62,g,31.67,9.02,g,12.63,0.0,g,0.00
"Pork, cured, ham, center slice, country-style, separable lean only, raw",28.35,1.0 oz,27.8,g,7.88,8.32,g,2.36,0.3,g,0.09
"Pork, cured, ham, center slice, separable lean and fat, unheated",28.35,1.0 oz,20.17,g,5.72,12.9,g,3.66,0.05,g,0.01
"Pork, cured, ham, extra lean (approximately 4% fat), canned, roasted",140.0,1.0 cup,21.16,g,29.62,4.88,g,6.83,0.52,g,0.73
"Pork, cured, ham, extra lean (approximately 4% fat), canned, unheated",140.0,1.0 cup,18.49,g,25.89,4.56,g,6.38,0.0,g,0.00
"Pork, cured, ham, extra lean and regular, canned, roasted",140.0,1.0 cup,20.94,g,29.32,8.43,g,11.80,0.49,g,0.69
"Pork, cured, ham, extra lean and regular, canned, unheated",140.0,1.0 cup,17.97,g,25.16,7.46,g,10.44,0.0,g,0.00
"Pork, cured, ham, low sodium, lean and fat, cooked",28.35,"1.0 oz, boneless",22.3,g,6.32,8.3,g,2.35,0.3,g,0.09
"Pork, cured, ham, patties, unheated",28.35,1.0 oz,12.78,g,3.62,28.19,g,7.99,1.69,g,0.48
"Pork, cured, ham, regular (approximately 13% fat), canned, roasted",140.0,1.0 cup,20.53,g,28.74,15.2,g,21.28,0.42,g,0.59
"Pork, cured, ham, rump, bone-in, separable lean and fat, heated, roasted",85.0,1.0 serving (3 oz),23.95,g,20.36,8.88,g,7.55,0.64,g,0.54
"Pork, cured, ham, rump, bone-in, separable lean and fat, unheated",85.0,3.0 oz,22.27,g,18.93,9.38,g,7.97,0.52,g,0.44
"Pork, cured, ham, rump, bone-in, separable lean only, heated, roasted",85.0,1.0 serving (3 oz),26.02,g,22.12,3.07,g,2.61,0.68,g,0.58
"Pork, cured, ham, rump, bone-in, separable lean only, unheated",28.35,1.0 oz,24.46,g,6.93,2.92,g,0.83,0.32,g,0.09
"Pork, cured, ham, separable fat, boneless, heated",85.0,3.0 oz,8.77,g,7.45,51.57,g,43.83,2.0,g,1.70
"Pork, cured, ham, separable fat, boneless, unheated",117.0,4.0 oz,7.5,g,8.78,53.0,g,62.01,1.87,g,2.19
"Pork, cured, ham, shank, bone-in, separable lean and fat, heated, roasted",85.0,1.0 serving (3 oz),24.39,g,20.73,9.35,g,7.95,0.64,g,0.54
"Pork, cured, ham, shank, bone-in, separable lean and fat, unheated",28.35,1.0 oz,21.61,g,6.13,9.85,g,2.79,0.41,g,0.12
"Pork, cured, ham, shank, bone-in, separable lean only, heated, roasted",85.0,1.0 serving (3 oz),26.49,g,22.52,3.68,g,3.13,0.68,g,0.58
"Pork, cured, ham, shank, bone-in, separable lean only, unheated",28.35,1.0 oz,23.79,g,6.74,3.19,g,0.90,0.18,g,0.05
"Pork, cured, ham, slice, bone-in, separable lean and fat, heated, pan-broil",85.0,1.0 serving (3 oz),25.48,g,21.66,8.48,g,7.21,0.7,g,0.60
"Pork, cured, ham, slice, bone-in, separable lean and fat, unheated",85.0,1.0 serving (3 oz),22.45,g,19.08,9.17,g,7.79,0.21,g,0.18
"Pork, cured, ham, slice, bone-in, separable lean only, heated, pan-broil",85.0,1.0 serving (3 oz),27.18,g,23.10,4.09,g,3.48,0.74,g,0.63
"Pork, cured, ham, slice, bone-in, separable lean only, unheated",85.0,1.0 serving (3 oz),24.36,g,20.71,3.59,g,3.05,0.0,g,0.00
"Pork, cured, ham, steak, boneless, extra lean, unheated",28.35,1.0 oz,19.56,g,5.55,4.25,g,1.20,0.0,g,0.00
"Pork, cured, ham, whole, separable lean and fat, unheated",140.0,1.0 cup,18.49,g,25.89,18.52,g,25.93,0.06,g,0.08
"Pork, cured, ham, whole, separable lean only, roasted",140.0,1.0 cup,25.05,g,35.07,5.5,g,7.70,0.0,g,0.00
"Pork, cured, ham, whole, separable lean only, unheated",140.0,1.0 cup,22.32,g,31.25,5.71,g,7.99,0.05,g,0.07
"Pork, cured, salt pork, raw",28.35,1.0 oz,5.05,g,1.43,80.5,g,22.82,0.0,g,0.00
"Pork, cured, separable fat (from ham and arm picnic), roasted",28.35,1.0 oz,7.64,g,2.17,61.86,g,17.54,0.0,g,0.00
"Pork, cured, separable fat (from ham and arm picnic), unheated",28.35,1.0 oz,5.68,g,1.61,61.41,g,17.41,0.09,g,0.03
"Pork, cured, shoulder, arm picnic, separable lean and fat, roasted",140.0,1.0 cup,20.43,g,28.60,21.35,g,29.89,0.0,g,0.00
"Pork, cured, shoulder, arm picnic, separable lean only, roasted",140.0,1.0 cup,24.94,g,34.92,7.04,g,9.86,0.0,g,0.00
"Pork, cured, shoulder, blade roll, separable lean and fat, roasted",85.0,3.0 oz,17.28,g,14.69,23.48,g,19.96,0.37,g,0.31
"Pork, cured, shoulder, blade roll, separable lean and fat, unheated",28.35,1.0 oz,16.47,g,4.67,21.98,g,6.23,0.0,g,0.00
"Pork, fresh, backfat, raw",28.35,1.0 oz,2.92,g,0.83,88.69,g,25.14,0.0,g,0.00
"Pork, fresh, backribs, separable lean and fat, cooked, roasted",85.0,3.0 oz,23.01,g,19.56,21.51,g,18.28,0.0,g,0.00
"Pork, fresh, backribs, separable lean and fat, raw",85.0,3.0 oz,19.07,g,16.21,16.33,g,13.88,0.0,g,0.00
"Pork, fresh, belly, raw",28.35,1.0 oz,9.34,g,2.65,53.01,g,15.03,0.0,g,0.00
"Pork, fresh, blade, (chops), boneless, separable lean and fat, cooked, broiled",131.0,1.0 chop,24.73,g,32.40,11.13,g,14.58,0.83,g,1.09
"Pork, fresh, carcass, separable lean and fat, raw",28.35,1.0 oz,13.91,g,3.94,35.07,g,9.94,0.0,g,0.00
"Pork, fresh, composite of separable fat, with added solution, cooked",85.0,3.0 oz,10.06,g,8.55,60.42,g,51.36,0.32,g,0.27
"Pork, fresh, composite of separable fat, with added solution, raw",28.35,1.0 oz,9.27,g,2.63,52.33,g,14.84,0.0,g,0.00
"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",28.35,1.0 oz,18.22,g,5.17,14.79,g,4.19,0.0,g,0.00
"Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked",85.0,3.0 oz,27.51,g,23.38,9.21,g,7.83,0.0,g,0.00
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",28.35,1.0 oz,21.2,g,6.01,4.86,g,1.38,0.0,g,0.00
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, cooked",85.0,3.0 oz,26.36,g,22.41,13.89,g,11.81,0.0,g,0.00
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, raw",28.35,1.0 oz,18.95,g,5.37,14.95,g,4.24,0.0,g,0.00
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean and fat, cooked",85.0,3.0 oz,26.07,g,22.16,13.66,g,11.61,0.0,g,0.00
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean and fat, raw",28.35,1.0 oz,20.08,g,5.69,10.14,g,2.87,0.0,g,0.00
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, cooked",85.0,3.0 oz,29.47,g,25.05,9.44,g,8.02,0.0,g,0.00
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, raw",28.35,1.0 oz,21.23,g,6.02,5.88,g,1.67,0.0,g,0.00
"Pork, fresh, enhanced, loin, tenderloin, separable lean only, raw",85.0,3.0 oz,20.39,g,17.33,2.09,g,1.78,0.0,g,0.00
"Pork, fresh, ground, cooked",85.0,3.0 oz,25.69,g,21.84,20.77,g,17.65,0.0,g,0.00
"Pork, fresh, ground, raw",28.35,1.0 oz,16.88,g,4.79,21.19,g,6.01,0.0,g,0.00
"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",135.0,"1.0 cup, diced",27.03,g,36.49,10.32,g,13.93,0.0,g,0.00
"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",28.35,1.0 oz,20.27,g,5.75,10.63,g,3.01,0.0,g,0.00
"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",85.0,3.0 oz,28.86,g,24.53,4.62,g,3.93,0.0,g,0.00
"Pork, fresh, leg (ham), rump half, separable lean only, raw",85.0,3.0 oz,21.81,g,18.54,2.93,g,2.49,0.0,g,0.00
"Pork, fresh, leg (ham), shank half, separable lean and fat, cooked, roasted",85.0,3.0 oz,25.96,g,22.07,13.42,g,11.41,0.0,g,0.00
"Pork, fresh, leg (ham), shank half, separable lean and fat, raw",85.0,3.0 oz,19.87,g,16.89,11.96,g,10.17,0.0,g,0.00
"Pork, fresh, leg (ham), shank half, separable lean only, cooked, roasted",85.0,3.0 oz,28.69,g,24.39,5.83,g,4.96,0.0,g,0.00
"Pork, fresh, leg (ham), shank half, separable lean only, raw",85.0,3.0 oz,21.66,g,18.41,2.95,g,2.51,0.0,g,0.00
"Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted",135.0,"1.0 cup, diced",26.83,g,36.22,17.61,g,23.77,0.0,g,0.00
"Pork, fresh, leg (ham), whole, separable lean and fat, raw",28.35,1.0 oz,17.43,g,4.94,18.87,g,5.35,0.0,g,0.00
"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted",135.0,"1.0 cup, diced",29.41,g,39.70,9.44,g,12.74,0.0,g,0.00
"Pork, fresh, leg (ham), whole, separable lean only, raw",28.35,1.0 oz,20.48,g,5.81,5.41,g,1.53,0.0,g,0.00
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",85.0,3.0 oz,19.56,g,16.63,12.27,g,10.43,0.0,g,0.00
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean only, raw",85.0,3.0 oz,21.22,g,18.04,5.84,g,4.96,0.0,g,0.00
"Pork, fresh, loin, blade (chops or roasts), boneless, separable lean and fat only, raw",85.0,3.0 oz,20.54,g,17.46,7.94,g,6.75,0.76,g,0.65
"Pork, fresh, loin, blade (chops or roasts), boneless, separable lean only, raw",85.0,3.0 oz,21.35,g,18.15,3.78,g,3.21,0.82,g,0.70
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",85.0,3.0 oz,26.54,g,22.56,15.71,g,13.35,0.0,g,0.00
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled",85.0,3.0 oz,23.72,g,20.16,14.35,g,12.20,0.0,g,0.00
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, pan-fried",85.0,3.0 oz,25.02,g,21.27,16.56,g,14.08,0.0,g,0.00
"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, braised",85.0,3.0 oz,28.02,g,23.82,11.29,g,9.60,0.0,g,0.00
"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, broiled",85.0,3.0 oz,24.99,g,21.24,9.56,g,8.13,0.0,g,0.00
"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, pan-fried",85.0,3.0 oz,26.38,g,22.42,12.14,g,10.32,0.0,g,0.00
"Pork, fresh, loin, blade (chops), boneless, separable lean only, boneless, cooked, broiled",85.0,3.0 oz,26.14,g,22.22,6.74,g,5.73,0.89,g,0.76
"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted",85.0,3.0 oz,24.29,g,20.65,16.71,g,14.20,0.0,g,0.00
"Pork, fresh, loin, blade (roasts), bone-in, separable lean only, cooked, roasted",85.0,3.0 oz,25.7,g,21.84,11.89,g,10.11,0.0,g,0.00
"Pork, fresh, loin, blade (roasts), boneless, separable lean and fat, cooked, roasted",85.0,3.0 oz,26.48,g,22.51,10.32,g,8.77,0.0,g,0.00
"Pork, fresh, loin, blade (roasts), boneless, separable lean only, cooked, roasted",85.0,3.0 oz,27.58,g,23.44,7.14,g,6.07,0.0,g,0.00
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised",85.0,3.0 oz,28.21,g,23.98,13.51,g,11.48,0.0,g,0.00
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled",85.0,3.0 oz,25.61,g,21.77,11.06,g,9.40,0.0,g,0.00
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, pan-fried",85.0,3.0 oz,27.63,g,23.49,13.32,g,11.32,0.0,g,0.00
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, raw",85.0,3.0 oz,20.71,g,17.60,9.03,g,7.68,0.0,g,0.00
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, braised",85.0,3.0 oz,30.2,g,25.67,7.86,g,6.68,0.0,g,0.00
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, broiled",146.0,"1.0 chop without refuse (Yield from 1 cooked chop, with refuse, weighing 209g)",26.76,g,39.07,7.29,g,10.64,0.0,g,0.00
